"","zip_code","location","population","people_sq_mile"
"445","01010","42.129477, -72.205302",3348,94.53
"446","01071","42.160060, -72.873853",1654,93.36
"447","01452","42.489598, -72.002878",3909,89.39
"448","01360","42.677091, -72.453876",2951,87.14
"449","01370","42.593338, -72.726941",4432,87.1
"450","01230","42.172941, -73.324463",9157,85.2
"451","01068","42.353887, -72.060685",1716,81.28
"452","01254","42.375021, -73.363093",1030,80.3
"453","01338","42.575888, -72.806648",51,73.5
"454","01337","42.689307, -72.582249",2619,72.96
"455","01072","42.456968, -72.417244",1458,68.46
"456","01096","42.409885, -72.774099",2623,68.34
"457","01266","42.309224, -73.376752",1742,66.23
"458","01054","42.469588, -72.484502",1444,65.83
"459","01342","42.546117, -72.607204",1014,64.03
"460","01344","42.613418, -72.426427",871,64
"461","01257","42.098415, -73.378426",2290,60.87
"462","01235","42.430620, -73.064073",2536,60.5
"463","01237","42.555658, -73.243027",2450,59.74
"464","01050","42.294669, -72.890125",2404,59.21
"465","02666","41.990779, -70.045721",724,58.31
"466","01341","42.504432, -72.701760",1738,49.32
"467","01531","42.324499, -72.113909",913,45.29
"468","01330","42.513947, -72.821517",1590,43.93
"469","01026","42.465495, -72.918267",1031,42.2
"470","01029","42.193435, -73.041961",572,40.58
"471","01340","42.685953, -72.721000",1880,40.3
"472","01253","42.197448, -73.096312",692,39.4
"473","01098","42.397559, -72.943392",1235,38.68
"474","01011","42.293933, -72.993099",2069,36.15
"475","01037","42.372728, -72.195412",710,36.03
"476","01379","42.534508, -72.415384",891,33.9
"477","01259","42.070679, -73.247301",559,32.78
"478","01245","42.187320, -73.210154",956,32.75
"479","01346","42.660040, -72.819982",290,32.22
"480","01012","42.375425, -72.858192",523,31.69
"481","01032","42.457613, -72.814780",212,31.09
"482","01070","42.520343, -72.926670",566,29.14
"483","01339","42.626342, -72.878315",1973,28.95
"484","01223","42.340966, -73.120673",1715,28.37
"485","01368","42.679456, -72.176935",1251,27.79
"486","01034","42.098207, -72.961272",1926,26.05
"487","01008","42.192222, -72.964379",1235,23.75
"488","01366","42.475426, -72.211701",1171,22.02
"489","01378","42.666871, -72.345995",750,19.98
"490","01264","42.228069, -73.194248",234,19.43
"491","02535","41.341585, -70.796008",1205,19.2
"492","01256","42.594166, -73.022320",705,18.99
"493","01355","42.458522, -72.327219",873,18.65
"494","01084","42.361743, -72.874988",147,18.56
"495","01255","42.102899, -73.125990",752,15.98
"496","01380","42.586998, -72.392870",90,15.41
"497","01367","42.695532, -72.909148",361,14.76
"498","02713","41.432882, -70.873822",56,10.74
"499","01350","42.727772, -72.985346",93,8.65
"500","01258","42.090924, -73.470197",130,5.81
